citationCounts,ID,title,year,abstract,author
0,puhalskii_large-population_2017,A large-population limit for a {Markovian} model of group-structured populations,2017-01-01,"A Markovian model of group-structured (two-level) population dynamics features births, deaths, and migrations of individuals, and fission and extinction of groups. These models are useful for studying
group selection and other evolutionary processes that occur when individuals live in distinct groups. We show that the sample paths of a properly scaled sequence of these models converge in an
appropriate Skorohod space to a deterministic trajectory that is a unique solution to a quasilinear evolution equation. The PDE model can therefore be justified as an approximation to the Markovian
one.","Puhalskii, A. and Simon, B."
0,goldsmith_evolvability_2017,"Evolvability, population benefit, and the evolution of programmed aging in mammals",2017-01-01,"Programmed aging theories contend that evolved biological mechanisms purposely limit internally determined lifespans in mammals and are ultimately responsible for most instances of highly age-related
diseases and conditions. Until recently, the existence of programmed aging mechanisms was considered theoretically impossible because it directly conflicted with Darwin’s survival-of-the-fittest
evolutionary mechanics concept as widely taught and generally understood. However, subsequent discoveries, especially in genetics, have exposed issues with some details of Darwin’s theory that affect
the mechanics of the evolution process and strongly suggest that programmed aging mechanisms in humans and other mammals can and did evolve, and more generally, that a trait that benefits a population
can evolve even if, like senescence, it is adverse to individual members of the population. Evolvability theories contend that organisms can possess evolved design characteristics (traits) that affect
their ability to evolve, and further, that a trait that increases a population’s ability to evolve (increases evolvability) can be acquired and retained even if it is adverse in traditional individual
fitness terms. Programmed aging theories based on evolvability contend that internally limiting lifespan in a species-specific manner creates an evolvability advantage that results in the evolution
and retention of senescence. This issue is critical to medical research because the different theories lead to dramatically different concepts regarding the nature of biological mechanisms behind
highly age-related diseases and conditions.","Goldsmith, T. C."
0,goldsmith_externally_2017,Externally regulated programmed aging and effects of population stress on mammal lifespan,2017-01-01,"Programmed (adaptive) aging refers to the idea that mammals, including humans and other complex organisms, have evolved mechanisms that purposely cause or allow senescence or otherwise internally
limit their lifespans in order to obtain an evolutionary advantage. Until recently, programmed aging had been thought to be theoretically impossible because of the mechanics of the evolution process.
However, there is now substantial theoretical and empirical support for the existence of programmed aging in mammals. Therefore, a comprehensive approach to medical research on aging and age-related
diseases must consider programmed aging mechanisms and the detailed nature of such mechanisms is of major importance. Theories of externally regulated programmed aging suggest that in mammals and
other complex organisms, genetically specified senescence mechanisms detect local or temporary external conditions that affect the optimal lifespan for a species population and can adjust the
lifespans of individual members in response. This article describes why lifespan regulation in response to external conditions adds to the evolutionary advantage produced by programmed aging and why a
specific externally regulated programmed aging mechanism provides the best match to empirical evidence on mammal senescence.","Goldsmith, T. C."
4,robson_group_2017,Group {Selection}: {A} {Review} {Essay} on \textit{{Does} {Altruism} {Exist}?} by {David} {Sloan} {Wilson},2017-01-01,"In response to the question in the title, Does Altruism Exist?, David Sloan Wilson argues forcefully that altruism exists and that the biological mechanism of group selection is responsible. He argues
that group selection should be taken especially seriously for humans, since cultural evolution is especially important for us. Economists' view of basic human motivations should then include altruism.
Wilson promotes a strong form of pervasive altruism, which seems bound to be inconsistent with many economic phenomena. Although a moderate version of the position he advocates is not easily
dismissed, it is unclear what such an extended theory would look like. (JEL D64, Z13)","Robson, Arthur J."
1,van_moorsel_community_2017,Community evolution increases ecosystem functioning and stability,2017-01-01,"In grassland biodiversity experiments the positive biodiversity– ecosystem functioning relationship generally increases over time. However, there is still a large gap in our understanding of the
underlying short-term evolutionary processes. Research has shown that differential selection in monoculture vs. mixedspecies communities can lead to rapid evolution. We assessed whether selection
history altered productivity, biodiversity effects and species complementarity within newly assembled monocultures and 2-species mixtures using five plant species selected for twelve years in such a
biodiversity experiment in mixture or monoculture and plants without such a selection history. Plants without past community selection history produced the lowest community biomass and showed the
weakest biodiversity effects. Furthermore, we found that twelve years of selection history in monocultures or species mixtures differentiated plants into monocultureand mixture-types within species.
In newly assembled mixtures, plants with a selection history in mixtures performed better than plants with a monoculture selection history. Biodiversity effects were generally positive but, contrary
to expectation, not stronger for mixture types. In addition, biodiversity effects were both influenced by trait differences among plants and community-weighted means, but these relationships were
largely independent of selection history. Our findings indicate possible mechanisms underlying the rapid evolution of adapted subtypes within a species in grasslands. Uncovering these mechanisms
contributes to our understanding of the biodiversity–ecosystem functioning relationship, which has the potential to influence species conservation practice.","van Moorsel, Sofia Julia"
7,uppal_shearing_2018,Shearing in flow environment promotes evolution of social behavior in microbial populations,2018-01-01,"How producers of public goods persist in microbial communities is a major question in evolutionary biology. Cooperation is evolutionarily unstable, since cheating strains can reproduce quicker and
take over. Spatial structure has been shown to be a robust mechanism for the evolution of cooperation. Here we study how spatial assortment might emerge from native dynamics and show that fluid flow
shear promotes cooperative behavior. Social structures arise naturally from our advection-diffusion-reaction model as self-reproducing Turing patterns. We computationally study the effects of fluid
advection on these patterns as a mechanism to enable or enhance social behavior. Our central finding is that flow shear enables and promotes social behavior in microbes by increasing the group
fragmentation rate and thereby limiting the spread of cheating strains. Regions of the flow domain with higher shear admit high cooperativity and large population density, whereas low shear regions
are devoid of life due to opportunistic mutations. ,  According to the principle of the ‘survival of the fittest’, selfish individuals should be better off compared to peers that cooperate with each
other. Indeed, even though a population of organisms benefits from working together, selfish members can exploit the cooperative behavior of others without doing their part. These ‘cheaters’ then use
their advantage to reproduce faster and take over the population. Yet, social cooperation is widespread in the natural world, and occurs in creatures as diverse as bacteria and whales. How can it
arise and persist then? One idea is that when individuals form distinct groups, the ones with cheaters will perish. Even though a selfish individual will fare better than the rest of its team,
overall, cooperating groups will survive more and reproduce faster; ultimately, they will be favored by evolution. This is called group selection. Here, Uppal and Vural examine how the physical
properties of the environment can influence the evolution of social interactions between bacteria. To this end, mathematical models are used to simulate how bacteria grow, evolve and drift in a
flowing fluid. These are based on equations worked out from the behavior of real-life populations. The results show that flow patterns in a fluid habitat govern the social behavior of bacteria. When
different regions of the fluid are moving at different speeds, ‘shear forces’ are created that cause bacterial colonies to distort and occasionally break apart to form two groups. As such, cooperative
groups will rapidly form new cooperating colonies, whereas groups with cheaters will reproduce slower or perish. Furthermore, results show that when different areas of the fluid have different shear
forces, social cooperation will only prevail in certain places. This makes it possible to use flow patterns to fine tune social evolution so that cooperating bacteria will be confined in a certain
region. Outside of this area, these bacteria would be taken over by cheaters and go extinct. Bacteria are both useful and dangerous to humans: for example, certain species can break down pollutants in
the water, when others cause deadly infections. These results show it could be possible to control the activity of these microorganisms to our advantage by changing the flow of the fluids in which
they live. More broadly, the simulations developed by Uppal and Vural can be applied to a variety of ecosystems where microscopic organisms inhabit fluids, such as plankton flowing in oceanic
currents.","Uppal, Gurdip and Vural, Dervis Can"
0,de_assis_selfish_2017,Selfish intracellular replicators: a two-level selection minimalist mathematical model,2017-01-01,"A mathematical model of the interaction between two levels of selection (intracellular and cellular) is presented. The paradigm is that of a selfish intracellular replicator, such as a strand of
selfish DNA, that reproduces itself at the expense of the efficiency of the structure of the cell. A mathematical analysis is conducted and conditions for the survival of the selfish replicators are
obtained explicitly. Our results indicate that, if reproduction is asexual, mechanisms of horizontal transfer of genes are essential for the fixation of such replicators in the population and also
that less harmful replicators have a better chance of infecting a whole population, while aggressive ones will usually successfully infect only a part of it.","de Assis, Raul Abreu and da Costa Petry, Polyanna Possani and Luciano, Chiara Maria Seidel and Malavazi, Mazílio Coronel"
78,priede_deep-sea_2017,"Deep-{Sea} {Fishes}: {Biology}, {Diversity}, {Ecology} and {Fisheries}",2017-01-01,"The technological advances of the last twenty years have brought huge advances in our understanding of the deep sea and of the species inhabiting this elusive and fascinating environment. Synthesising
the very latest research and discoveries, this is a comprehensive and much-needed account of deep-sea fishes. Priede examines all aspects of this incredibly diverse group of animals, reviewing almost
3,500 species and covering deep-sea fish evolution, physiology and ecology as well as charting the history of their discovery from the eighteenth century to the present day. Providing a global account
of both pelagic and demersal species, the book ultimately considers the effect of the growing deep-sea fishing industry on sustainability. Copiously illustrated with explanations of the deep-sea
environment, drawings of fishes and information on how they adapt to the deep, this is an essential resource for biologists, conservationists, fishery managers and anyone interested in marine
evolution and natural history.","Priede, Imants G."
1,butler_reflections_2017,Reflections on the {Virulence} of {Infections},2017-01-01,"Infection has played a crucial role in human evolution – from the ancient acquisition of vital organelles such as mitochondria to the ‘fossil’ viral elements that constitute so much of our genome –
but we usually focus on pathogens. When a virus infects a new host species, large changes may occur in pathogen-host ecology and virulence. Some viruses with RNA genomes (e.g. influenza viruses,
henipaviruses and severe acute respiratory syndrome (SARS) coronavirus) can leap across relatively large host taxa, causing epidemics in the naïve population. This phenomenon is exemplified by changes
in the mode of transmission and virulence of influenza A viruses when they move from waterfowl to chickens, and from chickens to mammals. Increasing virulence is also evident with retroviruses such as
human immunodeficiency viruses (HIV) and the leukaemia virus of koalas. Viruses with DNA genomes (e.g. poxviruses, herpesviruses and papilloma viruses) usually have a greater fidelity to their host,
but may devastate a closely related host species provided they gain access to it, as when the New World myxomatosis virus was introduced into European rabbits in Australia. Other virulent poxand
herpes virus infections occur when a host species or populations separated by geography and time regain contact through globalisation or through artificial introduction as captive or invasive species.
The epidemics among humans indigenous to the Americas and the Pacific islands following the arrival of Europeans serve as a model for the likely fate of Neanderthals and Denisovans when modern humans
reached them out of Africa. Health of People, Places and Planet","Dixon, Jane and Capon, Anthony G. and Weiss, Robin A."
0,vidunas_delegated_2019,Delegated {Causality} of {Complex} {Systems},2019-01-01,"A notion of delegated causality is introduced here. This subtle kind of causality is dual to interventional causality. Delegated causality elucidates the causal role of dynamical systems at the “edge
of chaos”, explicates evident cases of downward causation, and relates emergent phenomena to Gödel’s incompleteness theorem. Apparently rich implications are noticed in biology and Chinese philosophy.
The perspective of delegated causality supports cognitive interpretations of self-organization and evolution.","Vidunas, Raimundas"
0,smith_cooperative_2017,Cooperative dynamics among hunter-gatherers: {An} experimental investigation of adaptive hypotheses,2017-01-01,"From small-scale food-sharing among hunter-gatherers to large-scale institutions in modern industrial societies, cooperation is central to human success. This thesis focuses on the former, exploring
cooperative dynamics among the Agta, a Filipino hunter-gatherer population. I develop a novel experimental approach to exploring hunter-gatherer cooperative behaviour which simultaneously assesses the
amount individuals cooperate and who they cooperate with. In contrast to much previous experimental literature, this non-anonymous design permits tests of specific theories for the evolution of
cooperation, including: kin selection (cooperating with related individuals); reciprocity (cooperating with others who cooperate in return); and tolerated theft/demand sharing (taking from those with
more resources), among other adaptive hypotheses. Using two experimental games – one exploring giving behaviour (donating resources to others) and another exploring demand sharing behaviour (taking
resources from others) – I find that individuals from camps with a greater probability of repeated interactions give more to and take less from others. When individuals give to others it is directed
towards kin and reciprocating partners, while when individuals take they do so from those with more resources, regardless of kinship or reciprocity. As predicted by theoretical models, this suggests
that reciprocal transfers occur when interactions are repeated, while demand sharing occurs when repeated interactions are less likely. Differences in the frequency of repeated interactions may
therefore explain some cross-cultural variation in forager food-sharing practices. This thesis also explores the effects of reputation on cooperative and interaction networks, finding that many
aspects of forager social networks may reflect the trade of commodities in biological markets. Additionally, assessment of the ontogenetic roots of Agta cooperative behaviour suggests that 3 who
children cooperate with, but not overall levels of cooperation, change over childhood in ways which are consistent with adaptive evolutionary hypotheses. These findings provide an insight into the
evolutionary and ecological roots of hunter-gatherer cooperation.","Smith, D."
0,peterson_controversies_2017,Controversies in biology: implications for the study of biology and politics,2017-01-01,"There are new developments within biology and these have implications for political science generally and the study of biology and politics more narrowly. This paper will look at four case studies:
(a) individual selection versus other models; (b); the roots of altruism and their political implications (c) the role of genes in politics; (d) neuroimaging and politics. There is considerable debate
within each of these issues, and this paper will simply note the implications of such debates for the study of politics.","Peterson, Steven and Somit, Albert and Peterson, Steven A. and Somit, Albert"
0,vasquez_four_2017,"Four {Essays} on {Strategic} {Behavior}, {Empathy} and {Gender} {Differences} in {Voluntary} {Provision} of {Public} {Goods} and {Responsible} {Consumption}",2017-01-01,"The ability to empathize is a fundamental social competence. In strategic interactions, the ability to understand and to share others’ emotional states is crucial in ascribing intentions, in
anticipating others’ choices and in best replying to them. Despite this important role for understanding interpersonal behaviour, economists and game theorists have devoted little attention to how
empathy interacts with preferences, beliefs and choices. In this paper we present the results of a laboratory experiment designed to investigate whether and how heterogeneity in individuals’ empathic
abilities affects observed differences in their behaviour in a variety of iconic economic games. We find that, in general, empathy does not affect strategic behaviour in situations such as the
Ultimatum Game (UG) and the Prisoner’s Dilemma game (PD), but has a clear and positive impact on altruism, as measured by offers in the Dictator Game (DG) and a negative effect on investment in the
Trust Game (TG). We also find a significant trade-off between empathy and depth of strategic thinking, mainly associated with gender differences in these games.","Vásquez, A."
16,morton_animal_2017,Animal {Vocal} {Communication}: {Assessment} and {Management} {Roles},2017-01-01,"How do animals communicate using sounds? How did animal vocal communication arise and evolve? Exploring a new way to conceptualize animal communication, this new edition moves beyond an earlier
emphasis on the role of senders in managing receiver behaviour, to examine how receivers\&apos; responses influence signalling. It demonstrates the importance of the perceiver role in driving the
evolution of communication, for instance in mimicry, and thus shifts the emphasis from a linguistic to a form/function approach to communication. Covering a wide range of animals from frogs to humans,
this new edition includes new sections on human prosodic elements in speech, the vocal origins of smiles and laughter and deliberately irritating sounds and is ideal for researchers and students of
animal behaviour and in fields such as sensory biology, neuroscience and evolutionary biology.","Morton, Eugene S."
0,calcraft_evolution_2017,The evolution of group traits: modelling natural selection on trait prevalence within and between groups,2017-01-01,"One of evolution's greatest innovations was group living; indeed, it is fundamental to our daily lives as humans. Yet despite intense theoretical and empirical work, the details of how group living
arose and is maintained are poorly understood. A central question in this area concerns the strength of natural selection operating between groups of organisms (group selection) because some think
this is key to the evolution of group behaviour. It is, however, challenging to measure natural selection occurring between groups and between the individuals within those groups simultaneously.
Consequently, a number of contentious theoretical issues have plagued group selection research for a number of decades, and empirical work on this topic is often misinterpreted. In this thesis, I
investigate three biological systems that are candidates for group selection where empirical data is readily available. Using techniques from theoretical and computational biology - simulations, game
theory and population genetics - I model evolution occurring at multiple levels simultaneously (multi-level selection), shedding light on the evolution and maintenance of group traits. First, I
consider the evolution of a trait - lateralization - at the population- and colony-level in eusocial organisms, which have a reproductive structure that promotes group organisation and cooperation. I
provide an evolutionary explanation for the strength of lateralization in colonies of the red wood ant, Formica rufa, as a compromise between intraspecific and predatory interactions. After extending
the analysis to involve predators targeting multiple colonies simultaneously, I show that populations should tend towards an equal distribution of left- and right- lateralized colonies, resulting in
zero population-level lateralization. This contradicts the established view that sociality should produce strong levels of lateralization at the population level. Second, I study a sub-social spider,
Anelosimus studiosus, which is a group-living species that has recently been claimed to exhibit group-level adaptation. I use evolutionary game theory to explain the evolution of colony aggression
with individual costs and benefits, providing an alternative to the existing group-level interpretation. The model generates a striking fit to the data without any between-group interactions.
Therefore, I conclude that more evidence is needed to infer group-level adaptation in this colonial spider. Third, I study the Solanaceae, a plant family whose breeding system is reported to have
undergone species selection - group selection acting on whole species. I investigate the evolution of self-fertilization over the family's phylogenetic history. By integrating an existing phylogeny
with models of breeding system evolution at the individual level, I find the average selection pressure - and attendant properties of populations - expected to have characterised the Solanaceae over
{\textasciitilde}36 million years. In conclusion, I have shown the power of modelling approaches to clarify evolutionary explanations, to question existing interpretations, and to identify experiments
that can help researchers identify the true causes of trait evolution.","Calcraft, Paul"
16,pruitt_intense_2017,"Intense group selection selects for ideal group compositions, but selection within groups maintains them",2017-01-01,"Semantic Scholar extracted view of ""Intense group selection selects for ideal group compositions, but selection within groups maintains them"" by J. Pruitt et al.","Pruitt, Jonathan N. and Goodnight, Charles J. and Riechert, Susan E."
0,ouellet_comparative_2017,{COMPARATIVE} {FORAGING} {ECOLOGY} {OF} {DOW} {NY} {AND} {HAIRY} {WOODPECKERS} ({AVES}: {PICIDAE}),2017-01-01,"It is widely accepted that two species of animals cannot occupy the same area unless they differ ecologically. The foraging ecology and behavior of several North American woodpeckers has been studied
(Austin 1976; Bent 1939; Bonner 1980; Connor 1979, 1980, 1981; Connor and Crawford 1974; Cruz and Johnston 1984; Gamboa et al. 1976; Jackson 1970; Kilham 1965, 1970, 1983; Kisiel 1972; Koch et al.
1970; Lawrence 1967; Ligon 1968a, 1968b; Lima 1983,1984; Otvos 1967; Ouellet 1977; Peters and Grubb 1983; Rand 1952; Selander 1965, 1966; Short 1970, 1982; Smith 1971, 1973; Travis 1977; Villard and
Beninger 1993; Wallace 1974; Williams 1975, 1980; Williams and Batzli 1979a) but few works have dealt with sympatric species with an extensive distribution. In this paper I am seeking to verify how
two species, the Hairy (Picoides villosus) and Downy (P. pubescens) Woodpeckers (hence Hairy (ies) or Downy (ies), sympatric over a large portion of their respective range (A.O.U. 1983) and with
similar color patterns but with marked differences in their overall body size and other mensural characters, can occupy the same area by comparing aspects of their foraging ecology.","Ouellet, H."
0,basu_notes_2017,"Notes on {Evolution}, {Rationality} and {Norms}",2017-01-01,"Semantic Scholar extracted view of ""Notes on Evolution, Rationality and Norms"" by K. Basu","Basu, K."
0,leeson_hayek_2017,"Hayek, {Evolution}, and {Imanishi}",2017-01-01,"This chapter examines Friedrich Hayek’s 1978/1979 dialogues on evolutionary biology with Kinji Imanishi, an influential Japanese evolutionary biologist—a conversation that has not previously been
available to non-Japanese speakers. Hayek had rarely discussed biological evolution—these neglected dialogues illuminate his understanding of this issue. Imanishi offers a counterpoint to Hayek
because he adopted a holistic approach to understand the evolution of the ecological system. Although Imanishi agreed with Hayek’s concept of a self-organizing society, he harshly criticizes Hayek’s
argument of natural selection. This chapter highlights Hayek’s understanding of the theory of natural selection and the theory of spontaneous order.","Leeson, Robert and Egashira, Susumu"
1,li_logic_2017,The {Logic} and {Location} of {Strong} {Reciprocity}: {Anthropological} and {Philosophical} {Considerations},2017-01-01,"In this chapter, we provide a philosophical and anthropological analysis of strong reciprocity. We begin our analysis by outlining the logical argument for strong reciprocity in detail, drawing
attention to its most questionable premises. We then address the most critical issue facing strong reciprocity: the lack of ethnographic evidence for strongly reciprocal behavior in the real world,
outside of economic games. We conclude that (1) despite some weak premises, the foundational argument for strong reciprocity is logically sound, and (2) while it is very unlikely that strong
reciprocity is an artifact entirely limited to experimental settings, it is difficult to detect the behavior in nonexperimental contexts. Lastly, we suggest that while the impulses of strong
reciprocity can motivate justice and fairness, one of the reasons that strong reciprocity is difficult to detect in real-world contexts is that cultural forces influence and often limit the
manifestation of strong reciprocity impulses.","Kiper, Jordan and Sosis, Richard"
0,lindenfors_easily_2017,Easily {Explicable} {Cooperation} and {Natural} {Selection},2017-01-01,"Cooperation when there is mutual benefit is easily understood, but other cooperation is notoriously hard to explain. To fully appreciate the problem one needs a good understanding of natural
selection, so a short summary is provided. The problems with group selection are summarized and behavioral genetics introduced.","Lindenfors, Patrik and Lindenfors, Patrik"
10,alcock_human_2017,Human {Sociobiology} and {Group} {Selection} {Theory},2017-01-01,"Semantic Scholar extracted view of ""Human Sociobiology and Group Selection Theory"" by J. Alcock","Alcock, J."
0,shanahan_phenotypic_2017,"Phenotypic {Selection} , and the {Units} of {Selection}",2017-01-01,"This Article is brought to you for free and open access by the Philosophy at Digital Commons @ Loyola Marymount University and Loyola Law School. It has been accepted for inclusion in Philosophy
Faculty Works by an authorized administrator of Digital Commons@Loyola Marymount University and Loyola Law School. For more information, please contact digitalcommons@lmu.edu. Repository Citation
Shanahan, Timothy, ""Evolution, Phenotypic Selection, and the Units of Selection"" (1990). Philosophy Faculty Works. 11. http://digitalcommons.lmu.edu/phil\_fac/11","Shanahan, T."
10,delisle_selfish_2017,Selfish {Genes} and {Lucky} {Breaks}: {Richard} {Dawkins}’ and {Stephen} {Jay} {Gould}’s {Divergent} {Darwinian} {Agendas},2017-01-01,"Darwin expressed alternative theoretical perspectives on a range of issues fundamental to our understanding of evolution, thereby making it possible for his intellectual descendants to develop his
ideas in markedly different and even incompatible directions while still promoting their views as authentically “Darwinian.” The long-running and well-publicized scientific rivalry between Richard
Dawkins and Stephen Jay Gould is a striking case in point. In elegantly written books and essays spanning the last quarter of the twentieth century, they developed and defended diametrically opposed
views on the units of selection, the scope and depth of adaptation, the significance of chance events, and the reality and meaning of evolutionary progress—each explicitly juxtaposing his own views
against those of the other while insisting that his own conclusions represent the genuinely “Darwinian” view. These skirmishes raise many questions. If there is just one world, why do they reach such
different conclusions about it? Does each have an equally good claim to represent authentic “Darwinism”? Are they best viewed as defending different interpretations of a single Darwinian tradition, or
as representing alternative (e.g., competing) Darwinian traditions? More generally, is a scientific tradition best characterized by a set of propositions that define its essence, or by causal
interactions providing cohesiveness in terms of self-identification, social relations, and historical continuity? An analysis of the Dawkins–Gould rivalry provides a fertile opportunity to address
these and other questions concerning “the Darwinian tradition” in the twentieth century.","Shanahan, Timothy"
4,boomsma_fifty_2016,Fifty years of illumination about the natural levels of adaptation,2016-01-01,"Semantic Scholar extracted view of ""Fifty years of illumination about the natural levels of adaptation"" by J. Boomsma","Boomsma, Jacobus J."
0,goldsmith_evolution_2016,Evolution of aging theories: {Why} modern programmed aging concepts are transforming medical research,2016-01-01,"Programmed aging refers to the idea that senescence in humans and other organisms is purposely caused by evolved biological mechanisms to obtain an evolutionary advantage. Until recently, programmed
aging was considered theoretically impossible because of the mechanics of the evolution process, and medical research was based on the idea that aging was not programmed. Theorists struggled for more
than a century in efforts to develop non-programmed theories that fit observations, without obtaining a consensus supporting any non-programmed theory. Empirical evidence of programmed lifespan
limitations continued to accumulate. More recently, developments, especially in our understanding of biological inheritance, have exposed major issues and complexities regarding the process of
evolution, some of which explicitly enable programmed aging of mammals. Consequently, science-based opposition to programmed aging has dramatically declined. This progression has major implications
for medical research, because the theories suggest that very different biological mechanisms are ultimately responsible for highly age-related diseases that now represent most research efforts and
health costs. Most particularly, programmed theories suggest that aging per se is a treatable condition and suggest a second path toward treating and preventing age-related diseases that can be
exploited in addition to the traditional disease-specific approaches. The theories also make predictions regarding the nature of biological aging mechanisms and therefore suggest research directions.
This article discusses developments of evolutionary mechanics, the consequent programmed aging theories, and logical inferences concerning biological aging mechanisms. It concludes that major medical
research organizations cannot afford to ignore programmed aging concepts in assigning research resources and directions.","Goldsmith, Theodore C."
15,simon_group-level_2016,Group-level events are catalysts in the evolution of cooperation,2016-01-01,"Semantic Scholar extracted view of ""Group-level events are catalysts in the evolution of cooperation."" by B. Simon et al.","Simon, Burton and Pilosov, Michael"
0,coco_william_2016,William {D}. {Hamilton}’s {Brazilian} lectures and his unpublished model regarding {Wynne}-{Edwards}’s idea of natural selection. {With} a note on ‘pluralism’ and different philosophical approaches to evolution,2016-01-01,"In 1975, the English evolutionist William Donald Hamilton (1936–2000) held in Brazil a series of lectures entitled “Population genetics and social behaviour”. The unpublished notes of these
conferences—written by Hamilton and recently discovered at the British Library—offer an opportunity to reflect on some of the author’s ideas about evolution. The year of the conference is particularly
significant, as it took place shortly after the applications of the Price equation with which Hamilton was able to build a model that included several levels of selection. In this paper I mainly
analyse the inaugural lecture in which Hamilton proposes a simple model to disprove the hypothesis supported by the British zoologist C. Vero Wynne-Edwards (1906–1997) regarding mechanisms to prevent
“over-exploitation of the food supply” in “the interests of the survival of the group”. The document presented here is of great historical interest. Not only because manuscript offers a model
that—since it was intended for teaching purposes—had never before appeared in the published version, but also because of the general index of the lectures that accompanies it. The latter allows us to
make some hypothetical considerations on the relationship and differences between kin-selection, group-selection and inclusive fitness that Hamilton wanted to present to the attentive, well-prepared
audience of the foreign university that had invited him.","Coco, Emanuele"
17,marshall_what_2016,"What is inclusive fitness theory, and what is it for?",2016-01-01,"Semantic Scholar extracted view of ""What is inclusive fitness theory, and what is it for?"" by J. Marshall","Marshall, James AR"
0,rosenzweig_evolution_2016,On the evolution of extinction rates,2016-01-01,"Aim: Consider and compare the evolutionary influences on extinction rates at the species level. Question: Does extinction rate evolve? Hypothetical conclusions: Yes, extinction evolves. Important
traits such as senescence and sex may be due to group selection working against high extinction rates in species that lack senescence and sex. Sometimes, however, reduced extinction rates may evolve
more conventionally by natural selection working to improve the reproductive biology of a species. And sometimes species may evolve to dominate a community’s best habitats even if that evolution
increases its probability of extinction. Despite likely changes at the species level in the probability of extinction, the fossil record suggests that mean extinction rates have not trended much at
all during the Phanerozoic.","Rosenzweig, M."
0,pawlowska_mathematical_2016,Mathematical models of microbial evolution : cooperative systems,2016-01-01,"Microbes usually live in large communities, where they interact with other organisms and species. These interactions include cooperation, when individuals facilitate each others growth and
reproduction. Such cooperation has been for instance observed within pathogens in the process of infection. Therefore, given the number and the frequency of infectious diseases, understanding the
nature and the dynamics of microbial cooperation may be a crucial step in modern medicine. Microbes often secrete costly enzymes which extracellularly metabolise resources available in the
environment. This external metabolism is a form of ’public good cooperation’, in which individuals invest their energy in producing ’public goods’, available to other organisms. To study this
phenomenon we deploy mathematical models which are based on biologically relevant assumptions. Our models not only aim to capture the dynamics of studied microbial communities, but also to remove the
natural complexity arising in the empirical studies and thus to provide a mechanistic understanding of their results. We first recover and explain the recent empirical finding, about mixed strain
infections, showing that an addition of a low virulent strain which does not produce public goods (termed ’cheat’) may counter-intuitively enhance the total population virulence. What drives this
result turns out to be an interaction of two different cooperative traits and the presence of spatial structure. Next we study the competition between the strains that do and do not produce public
goods. Our results depend on environmental conditions, such as resource concentration and population density, but they are also determined by the degree of spatial structure the ecological trait which
so far has been treated only as a binary variable. Finally, we identify some environmental threats for the external metabolism feeding strategy, and we examine its competitiveness in comparison to
’internal metabolism’, in which the costly enzymes are private.","Pawlowska, Bogna J."
2,gardner_strategic_2016,The {Strategic} {Revolution},2016-01-01,"Semantic Scholar extracted view of ""The Strategic Revolution"" by A. Gardner","Gardner, Andy"
8,knight_puzzles_2016,Puzzles and mysteries in the origins of language,2016-01-01,"Semantic Scholar extracted view of ""Puzzles and mysteries in the origins of language"" by C. Knight","Knight, Chris"
3,marin_levels_2016,The levels of selection debate: taking into account existing empirical evidence,2016-01-01,"Por más de cinco décadas la visión neo-darwinista dominante de la selección natural es que esta actúa únicamente a nivel génico y organísmico, pero la ignorada evidencia empírica de selección
multinivel ocurriendo en la naturaleza obtenida durante los últimos cincuenta años no es consecuente. Un largo intercambio de argumentaciones matemáticas y teóricas sobre los niveles en los que actúa
la selección natural constituye lo que se denomina como el “debate de los niveles de selección”. La gran cantidad de evidencia empírica, estudiada mediante métodos de genética cuantitativa,
específicamente el análisis contextual, indica que la selección natural actúa en niveles de la jerarquía biológica por encima y por debajo del nivel del gen y organismo, desde el nivel molecular hasta
el ecosistémico, apoyando así lo que se denomina la teoría de selección multinivel. Más allá de argumentos teóricos, si se examina cuidadosamente la evidencia empírica de selección multinivel y los
resultados del análisis contextual, se resuelve de forma sencilla el debate de los niveles de selección: la selección natural ocurre en la naturaleza en diferentes niveles de la jerarquía biológica.
Este texto ofrece una revisión general de dicha evidencia empírica.","Marín, César"
23,janz_fragmented_2016,Fragmented {Landscapes} and {Economies} of {Abundance}: {The} {Broad}-{Spectrum} {Revolution} in {Arid} {East} {Asia},2016-01-01,"Increasing diet breadth, a distinguishing characteristic of human foraging strategies at the end of the Pleistocene and in the early Holocene, is known to be a key development contributing to
domestication and the spread of agriculture and pastoralism. Many scholars have focused on broad-spectrum foraging as a result of resource depression due to demographic stress or environmental
degradation. However, these factors are absent in an increasing number of cases. New research in the Gobi Desert shows that a dramatic change in organizational strategies, including the intensified
use of low-ranked foods from dune-field and wetland habitats, is closely correlated with the establishment of dispersed patches boasting high species diversity and a concentrated abundance of small
prey. According to a global suite of paleoenvironmental and archaeological data, it appears that the fragmentation of more homogeneous grassland habitats coincided with the rise of broad-spectrum
foraging and that these fragmented ecosystems were ideally suited to the unique set of foraging strategies employed by modern Homo sapiens. This study shows how broad-spectrum foraging, increased
human population density, and the shift toward food production should be considered by-products of major environmental changes that created an ecological setting ideal for enhanced human reproduction.","Janz, Lisa"
3,beck_spontaneous_2016,The spontaneous market order and evolution,2016-01-01,"Semantic Scholar extracted view of ""The spontaneous market order and evolution."" by N. Beck","Beck, Naomi"
